Genus 
Aerodactylus 
Aerodraco 
Aerotitan 
 Aetodactylus  
Afrotapejara 
 Aidachar  
Alamodactylus 
 Alanqa  
Albadraco 
 Alcione  
Allkaruen 
Altmuehlopterus 
 Amblydectes  
 Angustinaripterus  
 Anhanguera  
 Anurognathus  
 Apatomerus  
 Apatorhamphus  
 Arambourgiania  
 Aralazhdarcho  
 Araripedactylus  
 Araripesaurus  
 Archaeoistiodactylus  
Arcticodactylus 
Ardeadactylus 
 Argentinadraco  
 Arthurdactylus  
 Aurorazhdarcho  
 Aussiedraco  
 Austriadactylus  
Austriadraco 
 Avgodectes  
Aymberedactylus 
 Azhdarcho  
 Bakonydraco  
 Banguela  
 Barbaridactylus  
 Barbosania  
 Batrachognathus  
 Beipiaopterus  
 Belonochasma  
Bellubrunnus 
 Bennettazhia  
Bergamodactylus 
 Bogolubovia  
 Boreopterus  
 Brachytrachelus  
 Brasileodactylus  
 Cacibupteryx  
 Caelestiventus  
 Caiuajara  
 Camposipterus  
" ""Campylognathus""  "
 Campylognathoides  
 Carniadactylus  
Cascocauda 
 Cathayopterus  
 Caulkicephalus  
 Caupedactylus  
 Caviramus  
 Cearadactylus  
 Changchengopterus  
 Chaoyangopterus  
 Cimoliopterus  
 Cimoliornis  
 Coloborhynchus  
 Comodactylus  
 Cretornis  
 Criorhynchus  
Cryodrakon 
 Ctenochasma  
 Cuspicephalus  
 Cycnorhamphus  
" ""Daitingopterus""  "
Daohugoupterus 
 Darwinopterus  
 Dawndraco  
Dearc 
 Dendrorhynchoides  
" ""Dendrorhynchus""  "
 Dermodactylus  
 Dimorphodon  
 Diopecephalus  
 Domeykodactylus  
 Doratorhynchus  
 Dorygnathus  
 Douzhanopterus  
Draigwenia 
 Dsungaripterus  
 Elanodactylus  
 Eoazhdarcho  
 Eopteranodon  
 Eosipterus  
 Eudimorphodon  
Europejara 
 Eurazhdarcho  
Eurolimnornis 
 Faxinalipterus  
 Feilongus  
 Fenghuangopterus  
Ferrodraco 
Forfexopterus 
 Gallodactylus  
 Geosternbergia  
 Gegepterus  
 Germanodactylus  
 Gladocephaloideus  
 Gnathosaurus  
Guidraco 
 Gwawinapterus  
 Hamipterus  
 Haopterus  
 Harpactognathus  
 Hatzegopteryx  
 Herbstosaurus  
 Hongshanopterus  
 Huanhepterus  
 Huaxiapterus  
Iberodactylus 
 Ikrandraco  
 Ingridia  
 Istiodactylus  
 Javelinadactylus  
 Jeholopterus  
 Jianchangnathus  
 Jianchangopterus  
 Jidapterus  
 Kariridraco  
 Kepodactylus  
Keresdrakon 
 Klobiodon  
 Kunpengopterus  
 Kryptodrakon  
 Lacusovagus  
 Laopteryx  
 Leptostomia  
 Liaodactylus  
 Liaoningopterus  
 Liaoxipterus  
Limnornis 
Linlongopterus 
" ""Lithosteornis""  "
 Lonchodectes  
 Lonchodraco  
 Lonchognathosaurus  
 Longchengpterus  
 Luchibang  
 Ludodactylus  
Luopterus 
 Maaradactylus  
 Macrotrachelus  
 Mesadactylus  
 Microtuban  
 Mimodactylus  
 Mistralazhdarcho  
Moganopterus 
 Montanazhdarcho  
 Muzquizopteryx  
 Mythunga  
 Navajodactylus  
 Nemicolopterus  
 Nesodactylus  
 Nesodon  
Nicorhynchus 
 Ningchengopterus  
 Noripterus  
 Normannognathus  
 Nurhachius  
 Nyctodactylus  
 Nyctosaurus  
" ""Odontorhynchus""  "
" ""Oolithorhynchus""  "
Orientognathus 
 Ordosipterus  
 Ornithocephalus  
 Ornithocheirus  
 Ornithodesmus  
 Ornithopterus  
 Ornithostoma  
" ""Osteornis""  "
Otogopterus 
 Pachyrhamphus  
Palaeocursornis 
 Palaeornis  
Pangupterus 
 Paranurognathus  
 Parapsicephalus  
 Peteinosaurus  
" ""Phobetor""  "
 Phosphatodraco  
Piksi 
 Plataleorhynchus  
 Prejanopterus  
 Preondactylus  
" ""Pricesaurus""  "
 Procoelosaurus  
 Ptenodactylus  
 Ptenodracon  
 Pteranodon  
 Ptéro-dactyle  
 Pterodactylus  
 Pterodaustro  
Pterofiltrus 
 Pteromimus  
 Pteromonodactylus  
 Pterorhynchus  
 Pterotherium  
 Puntanipterus  
 Qinglongopterus  
 Quetzalcoatlus  
Radiodactylus 
 Raeticodactylus  
 Rhabdopelix  
 Rhamphinion  
 Rhamphocephalus  
 Rhamphorhynchus  
 Santanadactylus  
 Scaphognathus  
Seazzadactylus 
 Sericipterus  
 Serradraco  
 Shenzhoupterus  
 Simurghia  
 Sinomacrops  
 Sinopterus  
 Siroccopteryx  
 Sordes  
 Sultanuvaisia  
 Tacuadactylus  
 Tapejara  
Targaryendraco 
 Tendaguripterus  
 Tethydraco  
 Thalassodromeus  
 Thanatosdrakon  
Thapunngaka 
" ""Titanopteryx""  "
 Tribelesodon  
 Tropeognathus  
 Tupandactylus  
 Tupuxuara  
 Uktenadactylus  
 Unwindia  
 Utahdactylus  
 Vectidraco  
 Vesperopterylus  
 Volgadraco  
Wellnhopterus 
 Wenupteryx  
Wightia 
 Wukongopterus  
" ""Wyomingopteryx""  "
 Xericeps  
 Yixianopterus  
 Zhejiangopterus  
 Zhenyuanopterus  
