name	diet	period	lived_in	type	length_m	taxonomy	named_in	species	flight		
barosaurus	herbivorous	Late Jurassic	North America	sauropod	24	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae	1890	lentus	no		
baryonyx	carnivorous	Early Cretaceous	West Europe	large theropod	10	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae	1987	walkeri	no		
becklespinax	carnivorous	Early Cretaceous	West Europe	large theropod	5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae	1988	altispinax	no		
beipiaosaurus	omnivorous	Early Cretaceous	East Asia	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea	1999	inexpectus	no		
bellusaurus	herbivorous	Mid Jurassic	East Asia	sauropod	5	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria	1990	sui	no		
borogovia	carnivorous	Late Cretaceous	East Asia	small theropod	1.5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae	1987	gracilicrus	no		
brachiosaurus	herbivorous	Late Jurassic	North America	sauropod	30	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae	1903	altithorax	no		
brachylophosaurus	herbivorous	Late Cretaceous	North America	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1953	canadensis	no		
brachytrachelopan	herbivorous	Mid Jurassic	South America	sauropod	10	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae	2005	mesai	no		
buitreraptor	carnivorous	Late Cretaceous	South America	small theropod	1.3	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae	2005	gonzalezorum	no		
camarasaurus	herbivorous	Late Jurassic	North America	sauropod	23	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae	1877	supremus	no		
camptosaurus	herbivorous	Late Jurassic	North America	euornithopod	5	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia	1885	dispar	no		
carcharodontosaurus	carnivorous	Late Cretaceous	North Africa	large theropod	15	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae	1931	saharicus	no		
carnotaurus	carnivorous	Late Cretaceous	South America	large theropod	7.6	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae	1985	sastrei	no		
caudipteryx	omnivorous	Early Cretaceous	East Asia	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae	1998	zoui	no		
cedarpelta	herbivorous	Early Cretaceous	North America	armoured dinosaur	10	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	2001	bilbeyhallorum	no		
centrosaurus	herbivorous	Late Cretaceous	North America	ceratopsian	6	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae	2000	apertus	no		
ceratosaurus	carnivorous	Late Jurassic	North America	large theropod	6	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria	1884	nasicornis	no		
