name	diet	period	lived_in	type	length_m	taxonomy	named_in	species	flight		
hesperosaurus	herbivorous	Late Jurassic	North America	armoured dinosaur	6	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae	2001	mjosi	no		
heterodontosaurus	herbivorous	Early Jurassic	South Africa	euornithopod	1.2	Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae	1962	tucki	no		
heyuannia	omnivorous	Late Cretaceous	East Asia	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae	1981	yanshini	no		
homalocephale	herbivorous	Late Cretaceous	East Asia	euornithopod	1.5	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea	1974	calathocercos	no		
huayangosaurus	herbivorous	Mid Jurassic	East Asia	armoured dinosaur	4.5	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae	1982	taibaii	no		
hylaeosaurus	herbivorous	Early Cretaceous	West Europe	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria	1833	armatus	no		
hypacrosaurus	herbivorous	Late Cretaceous	North America	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1913	altispinus	no		
hypsilophodon	herbivorous	Early Cretaceous	West Europe	euornithopod	2.3	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae	1869	foxii	no		
iguanodon	herbivorous	Early Cretaceous	West Europe	euornithopod	10	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1881	bernissartensis	no		
indosuchus	carnivorous	Late Cretaceous	South Asia	large theropod	7	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria	1933	raptorius	no		
irritator	carnivorous	Early Cretaceous	South America	large theropod	6.5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae	1996	challengeri	no		
isisaurus	herbivorous	Late Cretaceous	South Asia	sauropod	18	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia	1997	colberti	no		
janenschia	herbivorous	Late Jurassic	East Africa	sauropod	20	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria	1991	robusta	no		
jaxartosaurus	herbivorous	Late Cretaceous	Western Asia	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1939	aralensis	no		
jingshanosaurus	herbivorous	Early Jurassic	East Asia	sauropod	5	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria	1995	xinwaensis	no		
jinzhousaurus	herbivorous	Early Cretaceous	East Asia	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	2001	yangi	no		
jobaria	herbivorous	Early Cretaceous	North Africa	sauropod	21	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria	1999	tiguidensis	no		
juravenator	carnivorous	Late Jurassic	West Europe	small theropod	0.8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae	2006	starki	no		
kentrosaurus	herbivorous	Late Jurassic	East Africa	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae	1915	aethiopicus	no		
khaan	omnivorous	Late Cretaceous	East Asia	small theropod	1.8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae	2001	mckennai	no		
kotasaurus	herbivorous	Early Jurassic	South Asia	sauropod	9	Dinosauria Saurischia Sauropodomorpha Sauropoda	1988	yamanpalliensis	no		
kritosaurus	herbivorous	Late Cretaceous	North America	euornithopod	8	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1910	navajovius	no		
lambeosaurus	herbivorous	Late Cretaceous	North America	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1923	lambei	no		
lapparentosaurus	herbivorous	Mid Jurassic	East Africa	sauropod	15	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes	1986	East Africaiensis	no		
leaellynasaura	herbivorous	Early Cretaceous	Australia	euornithopod	2	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1989	amicagraphica	no		
leptoceratops	herbivorous	Late Cretaceous	North America	ceratopsian	3	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria	1914	gracilis	no		
lesothosaurus	herbivorous	Early Jurassic	South Africa	small theropod	2	Dinosauria Ornithischia	1978	diagnosticus	no		
liaoceratops	herbivorous	Early Cretaceous	East Asia	ceratopsian	0.8	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia	2002	yanzigouensis	no		
ligabuesaurus	herbivorous	Early Cretaceous	South America	sauropod	24	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria	2006	leanzai	no		
liliensternus	carnivorous	Late Triassic	West Europe	small theropod	5	Dinosauria Saurischia Theropoda Neotheropoda	1934	liliensterni	no		
lophorhothon	herbivorous	Late Cretaceous	North America	euornithopod	4.5	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1960	atopus	no		
lophostropheus	carnivorous	Early Jurassic	West Europe	large theropod	6.2	Dinosauria Saurischia	1993	airelensis	no		
lufengosaurus	herbivorous	Early Jurassic	East Asia	sauropod	6	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae	1941	huenei	no		
lurdusaurus	herbivorous	Early Cretaceous	North Africa	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1999	arenatus	no		
lycorhinus	herbivorous	Late Triassic	South Africa	euornithopod	1.2	Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae	1924	angustidens	no		
magyarosaurus	herbivorous	Late Cretaceous	East Europe	sauropod	5	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia	1915	dacus	no		
maiasaura	herbivorous	Late Cretaceous	North America	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1979	peeblesorum	no		
majungasaurus	carnivorous	Late Cretaceous	East Africa	large theropod	6	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae	1979	atopus	no		
East Africasaurus	herbivorous	Early Cretaceous	East Africa	sauropod	9	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia	1928	dixeyi	no		
mamenchisaurus	herbivorous	Late Jurassic	East Asia	sauropod	22	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda	1954	constructus	no		
mapusaurus	carnivorous	Late Cretaceous	South America	large theropod	13	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae	2006	roseae	no		
marshosaurus	carnivorous	Late Jurassic	North America	large theropod	6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda	1976	bicentesimus	no		
masiakasaurus	carnivorous	Late Cretaceous	East Africa	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria	2001	knopfleri	no		
massospondylus	omnivorous	Early Jurassic	South Africa	sauropod	4	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae	1854	carinatus	no		
maxakalisaurus	herbivorous	Late Cretaceous	South America	sauropod	13	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae	2006	topai	no		
megalosaurus	carnivorous	Mid Jurassic	West Europe	large theropod	9	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae	1826	bucklandii	no		
melanorosaurus	omnivorous	Late Triassic	South Africa	sauropod	12	Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae	1924	readi	no		
metriacanthosaurus	carnivorous	Late Jurassic	West Europe	large theropod	8.2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae	1964	parkeri	no		
microceratus	herbivorous	Late Cretaceous	East Asia	ceratopsian	0.5	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria	1953	gobiensis	no		
micropachycephalosaurus	herbivorous	Late Cretaceous	East Asia	ceratopsian	0.6	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria	1978	hongtuyanensis	no		
microraptor	carnivorous	Early Cretaceous	East Asia	small theropod	0.8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	2000	zhaoianus	no		
minmi	herbivorous	Early Cretaceous	Australia	armoured dinosaur	3	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria	1980	paravertebra	no		
monolophosaurus	carnivorous	Mid Jurassic	East Asia	large theropod	5.7	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria	1993	jiangi	no		
mononykus	unknown	Late Cretaceous	East Asia	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae	1993	olecranus	no		
mussaurus	herbivorous	Late Triassic	South America	sauropod	3	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae	1979	patagonicus	no		
muttaburrasaurus	herbivorous	Early Cretaceous	Australia	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1981	langdoni	no		
nanshiungosaurus	omnivorous	Late Cretaceous	East Asia	large theropod	4.4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae	1979	brevispinus	no		
nedoceratops	herbivorous	Late Cretaceous	North America	ceratopsian	7	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae	1905	hatcheri	no		
nemegtosaurus	herbivorous	Late Cretaceous	East Asia	sauropod	13	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae	1971	mongoliensis	no		
neovenator	carnivorous	Early Cretaceous	West Europe	large theropod	7.4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae	1996	salerii	no		
neuquenosaurus	herbivorous	Late Cretaceous	South America	sauropod	10	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae	1893	australis	no		
North Africasaurus	herbivorous	Early Cretaceous	North Africa	sauropod	15	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae	1999	taqueti	no		
nipponosaurus	herbivorous	Late Cretaceous	North Asia	euornithopod	6	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1936	sachalinensis	no		
noasaurus	carnivorous	Late Cretaceous	South America	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria	1980	leali	no		
nodosaurus	herbivorous	Early Cretaceous	North America	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae	1889	textilis	no		
nomingia	omnivorous	Late Cretaceous	East Asia	small theropod	1.6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae	2000	gobiensis	no		
nothronychus	omnivorous	Late Cretaceous	North America	large theropod	5.3	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae	2001	mckinleyi	no		
nqwebasaurus	carnivorous	Mid Jurassic	South Africa	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria	2000	thwazi	no		
omeisaurus	herbivorous	Mid Jurassic	East Asia	sauropod	20	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda	1939	junghsiensis	no		
opisthocoelicaudia	herbivorous	Late Cretaceous	East Asia	sauropod	12	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae	1977	skarzynskii 	no		
ornitholestes	carnivorous	Late Jurassic	North America	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria	1933	hermanni	no		
ornithomimus	omnivorous	Late Cretaceous	North America	large theropod	4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae	1890	velox	no		
orodromeus	herbivorous	Late Cretaceous	North America	euornithopod	2	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1988	makelai	no		
oryctodromeus	herbivorous	Late Cretaceous	North America	euornithopod	2.1	Dinosauria Ornithischia	2007	cubicularis	no		
othnielia	herbivorous	Late Jurassic	North America	euornithopod	1.4	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1877	rex	no		
ouranosaurus	herbivorous	Early Cretaceous	North Africa	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1976	North Africaiensis	no		
oviraptor	omnivorous	Late Cretaceous	East Asia	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae	1924	philoceratops	no		
pachycephalosaurus	herbivorous	Late Cretaceous	North America	euornithopod	8	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae	1943	wyomingensis	no		
pachyrhinosaurus	herbivorous	Late Cretaceous	North America	ceratopsian	6	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae	1950	canadensis	no		
panoplosaurus	herbivorous	Late Cretaceous	North America	armoured dinosaur	7	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae	1919	mirus	no		
pantydraco	herbivorous	Early Jurassic	West Europe	euornithopod	3	Dinosauria Saurischia	2003	caducus	no		
paralititan	herbivorous	Late Cretaceous	North Africa	sauropod	28	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia	2001	stromeri	no		
parasaurolophus	herbivorous	Late Cretaceous	North America	euornithopod	11	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1922	walkeri	no		
parksosaurus	herbivorous	Late Cretaceous	North America	euornithopod	3	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1937	warrenae	no		
patagosaurus	herbivorous	Mid Jurassic	South America	sauropod	18	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae	1979	fariasi	no		
pelicanimimus	carnivorous	Early Cretaceous	West Europe	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria	1994	polyodon	no		
pelorosaurus	herbivorous	Early Cretaceous	West Europe	sauropod	25	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes	1850	conybearei	no		
pentaceratops	herbivorous	Late Cretaceous	North America	ceratopsian	6.8	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae	1923	sternbergi	no		
piatnitzkysaurus	carnivorous	Late Jurassic	South America	large theropod	4.2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae	1979	floresi	no		
pinacosaurus	herbivorous	Late Cretaceous	East Asia	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	1933	grangeri	no		
plateosaurus	herbivorous	Late Triassic	West Europe	sauropod	7	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae	1837	engelhardti	no		
podokesaurus	carnivorous	Mid Jurassic	North America	small theropod	0.9	Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea	1911	holyokensis	no		
poekilopleuron	carnivorous	Mid Jurassic	West Europe	large theropod	9	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae	1838	bucklandii	no		
polacanthus	herbivorous	Early Cretaceous	West Europe	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria	1881	foxii	no		
prenocephale	herbivorous	Late Cretaceous	East Asia	euornithopod	2.4	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae	1974	prenes	no		
probactrosaurus	herbivorous	Early Cretaceous	East Asia	euornithopod	6	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1966	gobiensis	no		
proceratosaurus	carnivorous	Mid Jurassic	West Europe	small theropod	4.1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria	1910	bradleyi	no		
procompsognathus	carnivorous	Late Triassic	West Europe	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea	1913	triassicus	no		
prosaurolophus	herbivorous	Late Cretaceous	North America	euornithopod	7.6	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1916	maximus	no		
protarchaeopteryx	carnivorous	Early Cretaceous	East Asia	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora	1997	robusta	no		
protoceratops	herbivorous	Late Cretaceous	East Asia	ceratopsian	1.8	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria	1923	andrewsi	no		
protohadros	herbivorous	Late Cretaceous	North America	euornithopod	6	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1998	byrdi	no		
psittacosaurus	herbivorous	Early Cretaceous	North Asia	ceratopsian	2	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae	1923	mongoliensis	no		
quaesitosaurus	herbivorous	Late Cretaceous	East Asia	sauropod	23	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae	1983	orientalis	no		
rebbachisaurus	herbivorous	Early Cretaceous	North Africa	sauropod	20	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae	1954	garasbae	no		
rhabdodon	herbivorous	Late Cretaceous	West Europe	euornithopod	4	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae	1869	priscus	no		
rhoetosaurus	herbivorous	Mid Jurassic	Australia	sauropod	15	Dinosauria Saurischia Sauropodomorpha Sauropoda	1926	brownei	no		
rinchenia	omnivorous	Late Cretaceous	East Asia	small theropod	2.5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae	1986	mongoliensis	no		
riojasaurus	omnivorous	Late Triassic	South America	sauropod	5.15	Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae	1969	incertus	no		
rugops	carnivorous	Late Cretaceous	North Africa	large theropod	7	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae	2004	primus	no		
saichania	herbivorous	Late Cretaceous	East Asia	armoured dinosaur	6.6	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	1977	chulsanensis	no		
saltasaurus	herbivorous	Late Cretaceous	South America	sauropod	12	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae	1980	loricatus	no		
saltopus	carnivorous	Late Triassic	West Europe	small theropod	1	Dinosauria	1910	elginensis	no		
sarcosaurus	carnivorous	Early Jurassic	West Europe	small theropod	3	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria	1921	woodi	no		
saurolophus	herbivorous	Late Cretaceous	East Asia	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1912	osborni	no		
sauropelta	herbivorous	Early Cretaceous	North America	armoured dinosaur	6.5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae	1970	edwardsorum	no		
saurophaganax	carnivorous	Late Jurassic	North America	large theropod	12	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae	1996	maximus	no		
saurornithoides	carnivorous	Late Cretaceous	East Asia	small theropod	3	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae	1924	mongoliensis	no		
scelidosaurus	herbivorous	Early Jurassic	West Europe	armoured dinosaur	4	Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae	1868	harrisonii	no		
scutellosaurus	herbivorous	Early Jurassic	North America	armoured dinosaur	1.2	Dinosauria Ornithischia Genasauria Thyreophora	1981	lawleri	no		
secernosaurus	herbivorous	Late Cretaceous	South America	euornithopod	3	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae	1979	koerneri	no		
segisaurus	carnivorous	Mid Jurassic	North America	small theropod	1.5	Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae	1936	halli	no		
segnosaurus	carnivorous	Late Cretaceous	East Asia	large theropod	4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae	1979	galbinensis	no		
shamosaurus	herbivorous	Early Cretaceous	East Asia	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	1983	scutatus	no		
shanag	carnivorous	Early Cretaceous	East Asia	small theropod	0.45	Dinosauria Saurischia	2007	ashile	no		
shantungosaurus	herbivorous	Late Cretaceous	East Asia	euornithopod	15	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1973	giganteus	no		
shunosaurus	herbivorous	Mid Jurassic	East Asia	sauropod	10	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda	1983	lii	no		
shuvuuia	omnivorous	Late Cretaceous	East Asia	small theropod	0.6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae	1998	deserti	no		
silvisaurus	herbivorous	Early Cretaceous	North America	armoured dinosaur	4	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae	1960	condrayi	no		
sinocalliopteryx	carnivorous	Early Cretaceous	East Asia	small theropod	2.37	Dinosauria Saurischia	2007	gigas	no		
sinornithosaurus	carnivorous	Early Cretaceous	East Asia	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	1999	millenii	no		
sinosauropteryx	carnivorous	Early Cretaceous	East Asia	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae	1996	prima	no		
sinovenator	carnivorous	Early Cretaceous	East Asia	small theropod	1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae	2002	changii	no		
