name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
archaeornithomimus,carnivorous,Late Cretaceous,Uzbekistan,small theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,1972,asiaticus,no,,
argentinosaurus,herbivorous,Late Cretaceous,Argentina,sauropod,35,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,1993,huinculensis,no,,
arrhinoceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1925,brachyops,no,,
atlascopcosaurus,herbivorous,Early Cretaceous,Australia,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1989,loadsi,no,,
aucasaurus,carnivorous,Late Cretaceous,Argentina,large theropod,5,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,2002,garridoi,no,,
austrosaurus,herbivorous,Early Cretaceous,Australia,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,1933,mckillopi,no,,
avaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,2.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,1986,lammersi,no,,
avimimus,omnivorous,Late Cretaceous,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,1981,portentosus,no,,
bactrosaurus,herbivorous,Late Cretaceous,China,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,1933,johnsoni,no,,
bagaceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,1975,rozhdestvenskyi,no,,
bambiraptor,carnivorous,Late Cretaceous,USA,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,2000,feinbergorum,no,,
barapasaurus,herbivorous,Early Jurassic,India,sauropod,14,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,1975,tagorei,no,,
barosaurus,herbivorous,Late Jurassic,USA,sauropod,24,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,1890,lentus,no,,
baryonyx,carnivorous,Early Cretaceous,United Kingdom,large theropod,10,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,1987,walkeri,no,,
becklespinax,carnivorous,Early Cretaceous,United Kingdom,large theropod,5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,1988,altispinax,no,,
beipiaosaurus,omnivorous,Early Cretaceous,China,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,1999,inexpectus,no,,
bellusaurus,herbivorous,Mid Jurassic,China,sauropod,5,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,1990,sui,no,,
borogovia,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,1987,gracilicrus,no,,
brachiosaurus,herbivorous,Late Jurassic,USA,sauropod,30,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,1903,altithorax,no,,
brachylophosaurus,herbivorous,Late Cretaceous,USA,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1953,canadensis,no,,
brachytrachelopan,herbivorous,Mid Jurassic,Argentina,sauropod,10,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,2005,mesai,no,,
buitreraptor,carnivorous,Late Cretaceous,Argentina,small theropod,1.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,2005,gonzalezorum,no,,
camarasaurus,herbivorous,Late Jurassic,USA,sauropod,23,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,1877,supremus,no,,
camptosaurus,herbivorous,Late Jurassic,USA,euornithopod,5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,1885,dispar,no,,
carcharodontosaurus,carnivorous,Late Cretaceous,North Africa,large theropod,15,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,1931,saharicus,no,,
carnotaurus,carnivorous,Late Cretaceous,Argentina,large theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,1985,sastrei,no,,
caudipteryx,omnivorous,Early Cretaceous,China,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,1998,zoui,no,,
cedarpelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,10,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,2001,bilbeyhallorum,no,,
