name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
harpymimus,omnivorous,Early Cretaceous,Mongolia,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,1984,okladnikovi,no,,
herrerasaurus,carnivorous,Late Triassic,Argentina,small theropod,3,Dinosauria Saurischia Theropoda Herrerasauridae,1963,ischigualastensis,no,,
hesperosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,6,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,2001,mjosi,no,,
heterodontosaurus,herbivorous,Early Jurassic,South Africa,euornithopod,1.2,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,1962,tucki,no,,
heyuannia,omnivorous,Late Cretaceous,Mongolia,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,1981,yanshini,no,,
homalocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,1974,calathocercos,no,,
huayangosaurus,herbivorous,Mid Jurassic,China,armoured dinosaur,4.5,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,1982,taibaii,no,,
hylaeosaurus,herbivorous,Early Cretaceous,United Kingdom,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,1833,armatus,no,,
hypacrosaurus,herbivorous,Late Cretaceous,USA,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1913,altispinus,no,,
hypsilophodon,herbivorous,Early Cretaceous,United Kingdom,euornithopod,2.3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,1869,foxii,no,,
iguanodon,herbivorous,Early Cretaceous,United Kingdom,euornithopod,10,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1881,bernissartensis,no,,
indosuchus,carnivorous,Late Cretaceous,India,large theropod,7,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,1933,raptorius,no,,
irritator,carnivorous,Early Cretaceous,Brazil,large theropod,6.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,1996,challengeri,no,,
isisaurus,herbivorous,Late Cretaceous,India,sauropod,18,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,1997,colberti,no,,
janenschia,herbivorous,Late Jurassic,Tanzania,sauropod,20,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,1991,robusta,no,,
jaxartosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1939,aralensis,no,,
jingshanosaurus,herbivorous,Early Jurassic,China,sauropod,5,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,1995,xinwaensis,no,,
jinzhousaurus,herbivorous,Early Cretaceous,China,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,2001,yangi,no,,
jobaria,herbivorous,Early Cretaceous,Niger,sauropod,21,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,1999,tiguidensis,no,,
juravenator,carnivorous,Late Jurassic,Germany,small theropod,0.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,2006,starki,no,,
kentrosaurus,herbivorous,Late Jurassic,Tanzania,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,1915,aethiopicus,no,,
khaan,omnivorous,Late Cretaceous,Mongolia,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,2001,mckennai,no,,
kotasaurus,herbivorous,Early Jurassic,India,sauropod,9,Dinosauria Saurischia Sauropodomorpha Sauropoda,1988,yamanpalliensis,no,,
kritosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1910,navajovius,no,,
lambeosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1923,lambei,no,,
lapparentosaurus,herbivorous,Mid Jurassic,Madagascar,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,1986,madagascariensis,no,,
leaellynasaura,herbivorous,Early Cretaceous,Australia,euornithopod,2,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1989,amicagraphica,no,,
leptoceratops,herbivorous,Late Cretaceous,USA,ceratopsian,3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,1914,gracilis,no,,
lesothosaurus,herbivorous,Early Jurassic,Lesotho,small theropod,2,Dinosauria Ornithischia,1978,diagnosticus,no,,
liaoceratops,herbivorous,Early Cretaceous,China,ceratopsian,0.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,2002,yanzigouensis,no,,
ligabuesaurus,herbivorous,Early Cretaceous,Argentina,sauropod,24,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,2006,leanzai,no,,
liliensternus,carnivorous,Late Triassic,Germany,small theropod,5,Dinosauria Saurischia Theropoda Neotheropoda,1934,liliensterni,no,,
lophorhothon,herbivorous,Late Cretaceous,USA,euornithopod,4.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1960,atopus,no,,
lophostropheus,carnivorous,Early Jurassic,France,large theropod,6.2,Dinosauria Saurischia,1993,airelensis,no,,
lufengosaurus,herbivorous,Early Jurassic,China,sauropod,6,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,1941,huenei,no,,
lurdusaurus,herbivorous,Early Cretaceous,Niger,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1999,arenatus,no,,
lycorhinus,herbivorous,Late Triassic,South Africa,euornithopod,1.2,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,1924,angustidens,no,,
magyarosaurus,herbivorous,Late Cretaceous,Romania,sauropod,5,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,1915,dacus,no,,
maiasaura,herbivorous,Late Cretaceous,USA,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1979,peeblesorum,no,,
majungasaurus,carnivorous,Late Cretaceous,Madagascar,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,1979,atopus,no,,
malawisaurus,herbivorous,Early Cretaceous,Malawi,sauropod,9,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,1928,dixeyi,no,,
mamenchisaurus,herbivorous,Late Jurassic,China,sauropod,22,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1954,constructus,no,,
mapusaurus,carnivorous,Late Cretaceous,Argentina,large theropod,13,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,2006,roseae,no,,
marshosaurus,carnivorous,Late Jurassic,USA,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,1976,bicentesimus,no,,
masiakasaurus,carnivorous,Late Cretaceous,Madagascar,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,2001,knopfleri,no,,
massospondylus,omnivorous,Early Jurassic,Zimbabwe,sauropod,4,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,1854,carinatus,no,,
maxakalisaurus,herbivorous,Late Cretaceous,Brazil,sauropod,13,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,2006,topai,no,,
megalosaurus,carnivorous,Mid Jurassic,United Kingdom,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,1826,bucklandii,no,,
melanorosaurus,omnivorous,Late Triassic,South Africa,sauropod,12,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,1924,readi,no,,
metriacanthosaurus,carnivorous,Late Jurassic,United Kingdom,large theropod,8.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,1964,parkeri,no,,
microceratus,herbivorous,Late Cretaceous,Mongolia,ceratopsian,0.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,1953,gobiensis,no,,
micropachycephalosaurus,herbivorous,Late Cretaceous,China,ceratopsian,0.6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,1978,hongtuyanensis,no,,
microraptor,carnivorous,Early Cretaceous,China,small theropod,0.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,2000,zhaoianus,no,,
minmi,herbivorous,Early Cretaceous,Australia,armoured dinosaur,3,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,1980,paravertebra,no,,
monolophosaurus,carnivorous,Mid Jurassic,China,large theropod,5.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,1993,jiangi,no,,
mononykus,unknown,Late Cretaceous,Mongolia,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,1993,olecranus,no,,
mussaurus,herbivorous,Late Triassic,Argentina,sauropod,3,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,1979,patagonicus,no,,
muttaburrasaurus,herbivorous,Early Cretaceous,Australia,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1981,langdoni,no,,
nanshiungosaurus,omnivorous,Late Cretaceous,China,large theropod,4.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,1979,brevispinus,no,,
nedoceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1905,hatcheri,no,,
nemegtosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,13,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,1971,mongoliensis,no,,
neovenator,carnivorous,Early Cretaceous,United Kingdom,large theropod,7.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,1996,salerii,no,,
neuquenosaurus,herbivorous,Late Cretaceous,Argentina,sauropod,10,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,1893,australis,no,,
nigersaurus,herbivorous,Early Cretaceous,Tunisia,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,1999,taqueti,no,,
nipponosaurus,herbivorous,Late Cretaceous,Russia,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1936,sachalinensis,no,,
noasaurus,carnivorous,Late Cretaceous,Argentina,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,1980,leali,no,,
nodosaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1889,textilis,no,,
nomingia,omnivorous,Late Cretaceous,Mongolia,small theropod,1.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,2000,gobiensis,no,,
nothronychus,omnivorous,Late Cretaceous,USA,large theropod,5.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,2001,mckinleyi,no,,
nqwebasaurus,carnivorous,Mid Jurassic,South Africa,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,2000,thwazi,no,,
omeisaurus,herbivorous,Mid Jurassic,China,sauropod,20,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1939,junghsiensis,no,,
opisthocoelicaudia,herbivorous,Late Cretaceous,Mongolia,sauropod,12,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,1977,skarzynskii ,no,,
ornitholestes,carnivorous,Late Jurassic,USA,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,1933,hermanni,no,,
ornithomimus,omnivorous,Late Cretaceous,USA,large theropod,4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,1890,velox,no,,
orodromeus,herbivorous,Late Cretaceous,USA,euornithopod,2,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1988,makelai,no,,
oryctodromeus,herbivorous,Late Cretaceous,USA,euornithopod,2.1,Dinosauria Ornithischia,2007,cubicularis,no,,
othnielia,herbivorous,Late Jurassic,USA,euornithopod,1.4,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1877,rex,no,,
ouranosaurus,herbivorous,Early Cretaceous,Niger,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1976,nigeriensis,no,,
oviraptor,omnivorous,Late Cretaceous,Mongolia,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,1924,philoceratops,no,,
pachycephalosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,1943,wyomingensis,no,,
pachyrhinosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,1950,canadensis,no,,
panoplosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1919,mirus,no,,
pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3,Dinosauria Saurischia,2003,caducus,no,,
paralititan,herbivorous,Late Cretaceous,Egypt,sauropod,28,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,2001,stromeri,no,,
parasaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,11,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1922,walkeri,no,,
parksosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1937,warrenae,no,,
patagosaurus,herbivorous,Mid Jurassic,Argentina,sauropod,18,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,1979,fariasi,no,,
pelicanimimus,carnivorous,Early Cretaceous,Spain,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,1994,polyodon,no,,
pelorosaurus,herbivorous,Early Cretaceous,United Kingdom,sauropod,25,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,1850,conybearei,no,,
pentaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,6.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1923,sternbergi,no,,
piatnitzkysaurus,carnivorous,Late Jurassic,Argentina,large theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,1979,floresi,no,,
pinacosaurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1933,grangeri,no,,
plateosaurus,herbivorous,Late Triassic,Switzerland,sauropod,7,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,1837,engelhardti,no,,
podokesaurus,carnivorous,Mid Jurassic,USA,small theropod,0.9,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,1911,holyokensis,no,,
poekilopleuron,carnivorous,Mid Jurassic,France,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,1838,bucklandii,no,,
polacanthus,herbivorous,Early Cretaceous,United Kingdom,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,1881,foxii,no,,
prenocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,1974,prenes,no,,
probactrosaurus,herbivorous,Early Cretaceous,China,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1966,gobiensis,no,,
proceratosaurus,carnivorous,Mid Jurassic,United Kingdom,small theropod,4.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,1910,bradleyi,no,,
procompsognathus,carnivorous,Late Triassic,Germany,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,1913,triassicus,no,,
prosaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,7.6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1916,maximus,no,,
protarchaeopteryx,carnivorous,Early Cretaceous,China,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,1997,robusta,no,,
protoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,1923,andrewsi,no,,
protohadros,herbivorous,Late Cretaceous,USA,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1998,byrdi,no,,
psittacosaurus,herbivorous,Early Cretaceous,Russia,ceratopsian,2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,1923,mongoliensis,no,,
quaesitosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,23,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,1983,orientalis,no,,
rebbachisaurus,herbivorous,Early Cretaceous,Morocco,sauropod,20,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,1954,garasbae,no,,
rhabdodon,herbivorous,Late Cretaceous,Spain,euornithopod,4,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,1869,priscus,no,,
rhoetosaurus,herbivorous,Mid Jurassic,Australia,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda,1926,brownei,no,,
rinchenia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,1986,mongoliensis,no,,
riojasaurus,omnivorous,Late Triassic,Argentina,sauropod,5.15,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,1969,incertus,no,,
rugops,carnivorous,Late Cretaceous,Niger,large theropod,7,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,2004,primus,no,,
saichania,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1977,chulsanensis,no,,
saltasaurus,herbivorous,Late Cretaceous,Argentina,sauropod,12,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,1980,loricatus,no,,
saltopus,carnivorous,Late Triassic,United Kingdom,small theropod,1,Dinosauria,1910,elginensis,no,,
sarcosaurus,carnivorous,Early Jurassic,United Kingdom,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,1921,woodi,no,,
saurolophus,herbivorous,Late Cretaceous,Mongolia,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1912,osborni,no,,
sauropelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,6.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1970,edwardsorum,no,,
saurophaganax,carnivorous,Late Jurassic,USA,large theropod,12,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,1996,maximus,no,,
saurornithoides,carnivorous,Late Cretaceous,Mongolia,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,1924,mongoliensis,no,,
scelidosaurus,herbivorous,Early Jurassic,United Kingdom,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,1868,harrisonii,no,,
scutellosaurus,herbivorous,Early Jurassic,USA,armoured dinosaur,1.2,Dinosauria Ornithischia Genasauria Thyreophora,1981,lawleri,no,,
secernosaurus,herbivorous,Late Cretaceous,Argentina,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,1979,koerneri,no,,
segisaurus,carnivorous,Mid Jurassic,USA,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,1936,halli,no,,
segnosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,1979,galbinensis,no,,
shamosaurus,herbivorous,Early Cretaceous,Mongolia,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1983,scutatus,no,,
shanag,carnivorous,Early Cretaceous,Mongolia,small theropod,0.45,Dinosauria Saurischia,2007,ashile,no,,
shantungosaurus,herbivorous,Late Cretaceous,China,euornithopod,15,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1973,giganteus,no,,
shunosaurus,herbivorous,Mid Jurassic,China,sauropod,10,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1983,lii,no,,
shuvuuia,omnivorous,Late Cretaceous,Mongolia,small theropod,0.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,1998,deserti,no,,
silvisaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1960,condrayi,no,,
sinocalliopteryx,carnivorous,Early Cretaceous,China,small theropod,2.37,Dinosauria Saurischia,2007,gigas,no,,
